InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,Price,SpotPrice
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,US,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,US,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,US,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,US,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,NO,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,NO,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,NO,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,NO,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,CA,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,CA,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,CA,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,CA,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,SE,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,SE,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,SE,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,SE,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,IS,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,IS,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,IS,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,IS,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,FR,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,FR,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,FR,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,FR,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,RO,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,RO,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,RO,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,RO,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,CZ,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,CZ,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,CZ,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,CZ,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,HR,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,HR,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,HR,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,HR,15.92,
1x_A100-80GB_SECURE,4.0,80.0,A100-80GB,1.0,A100_80GB,NL,1.99,
2x_A100-80GB_SECURE,8.0,160.0,A100-80GB,2.0,A100_80GB,NL,3.98,
4x_A100-80GB_SECURE,16.0,320.0,A100-80GB,4.0,A100_80GB,NL,7.96,
8x_A100-80GB_SECURE,32.0,640.0,A100-80GB,8.0,A100_80GB,NL,15.92,
